#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"golden hour","JVKE",94,12B,59,2026-03-12,03:29,77,"","this is what falling in love feels like (554Hz)",2022-10-03,52,65,16,15,0,20,-5,E Major,3,4yNk9iz9WVJikRFle3XEvn,GBKPL2204171
2,"Primavera","Ludovico Einaudi,Robert Ziegler,Royal Philharmonic Orchestra",142,5A,21,2026-02-26,07:22,65,"neoclassical, classical, contemporary classical, orchestral","Divenire (Deluxe Edition)",2006-01-01,23,97,86,14,0,10,-14,C Minor,3,4BMHp3DkI8VLsuB9Kr0pzu,ITB280600006
3,"Jack Sparrow - From  Pirates of the Caribbean ","Klaus Badelt,Hans Zimmer,Kian Soltani",195,9B,45,2026-02-26,03:46,35,"soundtrack, score, chamber music, classical","Jack Sparrow (From  Pirates of the Caribbean )",2021-09-10,46,94,79,79,0,0,-12,G Major,3,4jL1u9WpN7PjRlhhIt5EgJ,DEN962130401
4,"Mr. Blue Sky","Electric Light Orchestra",178,6B,34,2026-02-26,05:03,81,"art rock, soft rock","Out of the Blue",1977-00-00,39,65,0,48,0,20,-10,A#/B♭ Major,4,2RlgNHKcydI9sayD2Df2xp,USSM17200399
5,"Levels - Radio Edit","Avicii",126,12A,89,2026-02-26,03:19,81,"edm","Levels",2011-10-28,58,5,83,46,0,30,-6,C♯/D♭ Minor,4,5UqCQaDshqbIk3pkhy4Pjg,SEUM71100962
6,"Take on Me","a-ha",84,11A,90,2026-02-26,03:45,88,"new wave, synthpop","Hunting High and Low",1985-06-01,57,2,0,88,0,0,-8,F#/G♭ Minor,4,2WfaOiMkCvy7F5fcp2zZ8L,USWB19901214
7,"Sweet Dreams (Are Made of This) - 2005 Remaster","Eurythmics,Annie Lennox,Dave Stewart",125,5A,71,2026-02-26,03:36,85,"new wave, synthpop, ","Sweet Dreams (Are Made Of This)",1983-01-04,69,23,0,88,0,10,-7,C Minor,4,1TfqLAPs4K3s2rJMoCokcS,GBARL0300589
8,"Sweet Child O' Mine","Guns N' Roses",125,2B,95,2026-02-25,05:56,88,"rock, glam metal, hard rock, classic rock","Appetite For Destruction",1987-07-21,45,9,8,62,0,10,-5,F#/G♭ Major,4,7snQQk1zcKl8gZ92AnueZW,USGF18714809
9,"Survivor","2WEI,Edda Hayes",133,9B,54,2026-02-25,03:15,65,"","Sequels",2018-09-20,35,10,27,10,0,10,-10,G Major,4,2UIkO1w2lTXDb0BLzy262r,US43C1608185
10,"Snow (Hey Oh)","Red Hot Chili Peppers",105,1B,90,2026-02-25,05:34,84,"funk rock, alternative rock, rock","Stadium Arcadium",2006-05-09,43,12,0,60,0,10,-4,B Major,4,2aibwv5hGXSgw7Yru8IYTO,USWB10601591
11,"Rock with You - Single Version","Michael Jackson",114,3B,54,2026-02-23,03:39,82,"","Off the Wall",1979-08-10,81,18,0,85,0,10,-13,C♯/D♭ Major,4,7oOOI85fVQvVnK5ynNMdW7,USSM17900817
12,"Knockin' On Heaven's Door","Guns N' Roses",132,2B,74,2026-02-23,05:36,82,"rock, glam metal, hard rock, classic rock","Use Your Illusion II",1991-09-18,50,2,0,38,0,10,-7,F#/G♭ Major,4,4JiEyzf0Md7KEFFGWDDdCr,USGF19142004
13,"Cheri Cheri Lady","Modern Talking",114,6B,62,2026-02-23,03:46,81,"europop, italo disco, eurodance","Let's Talk About Love",1985-00-00,68,46,1,85,0,30,-14,A#/B♭ Major,4,2aEuA8PSqLa17Y4hKPj5rr,DEC738500001
14,"Notion","The Rare Occasions",159,11B,88,2026-02-23,03:15,84,"","Notion",2021-12-02,31,7,0,31,0,0,-4,A Major,4,0sTlGEld0h8kIPZaKDYUf4,USHM21617726
15,"Hoist The Colours","The Wellermen,Ebucs,Eric Hollaway,Big Brev,Davide Dalmonte,Bobby Bass,Jesse Elkins,Luke G. Taylor",95,3B,30,2026-02-23,04:38,62,"sea shanties, celtic","The Wellermen",2023-02-10,29,62,0,24,0,10,-14,C♯/D♭ Major,3,2zdNjnpw2V1DBpx653KK8M,GX2Y42200060
16,"Earth Song","Michael Jackson",138,2A,44,2026-02-18,06:45,73,"","HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,50,48,0,14,0,0,-8,D#/E♭ Minor,4,4GCGH6TJ69neckwITeBFXK,USSM19500010
17,"Paradise","Coldplay",140,7B,59,2026-02-15,04:38,85,"","Mylo Xyloto",2011-10-24,45,5,0,21,0,0,-7,F Major,4,6nek1Nin9q48AVZcWs9e9D,GBAYE1101143
18,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta,AFROJACK,Bebe Rexha,Nicki Minaj",86,11B,73,2026-02-15,03:12,74,"edm, big room, ","Listen",2014-11-10,60,24,0,53,10,30,-4,A Major,4,285HeuLxsngjFn4GGegGNm,GB28K1400058
19,"There's Nothing Holdin' Me Back","Shawn Mendes",122,10A,81,2026-02-15,03:19,87,"","Illuminate (Deluxe)",2017-04-20,87,38,0,97,0,0,-4,B Minor,4,7JJmb5XwzOO8jgpou264Ml,USUM71702833
20,"Memories (feat. Kid Cudi)","David Guetta,Kid Cudi",130,4B,87,2026-02-15,03:30,83,"edm, ","One More Love",2010-11-22,56,0,0,50,30,20,-6,G#/A♭ Major,4,7fLzbEOBOae9lUnOwr7Tse,FRZID0900480
21,"House of Memories","Panic! At The Disco",110,10A,82,2026-02-15,03:28,80,"emo","Death of a Bachelor",2016-01-15,51,0,0,51,0,0,-5,B Minor,4,2DgdHcjWmO3qd50RzuBLgZ,USAT21503701
22,"Should I Stay or Should I Go - Remastered","The Clash",113,10B,84,2026-02-15,03:08,84,"punk","Combat Rock (Remastered)",1982-00-00,74,8,0,82,10,30,-6,D Major,4,39shmbIHICJ2Wxnk1fPSdz,GBARL1200670
23,"Don't Stop 'Til You Get Enough","Michael Jackson",119,1B,82,2026-02-11,06:04,81,"","Off the Wall",1979-08-10,88,13,5,95,0,10,-10,B Major,4,46eu3SBuFCXWsPT39Yg3tJ,USSM17900816
24,"Don't Worry (with Ray Dalton) - Radio Edit","Madcon,Ray Dalton",123,9B,70,2026-02-11,03:34,78,"norwegian hip hop, ","Don't Worry (feat. Ray Dalton)",2015-04-10,81,7,0,73,10,10,-5,G Major,4,63CSozvYUEudPp12679UVF,NO5281501010
25,"Summer","Calvin Harris",128,9A,86,2026-02-11,03:42,85,"edm","Motion",2014-10-31,60,2,2,74,0,10,-4,E Minor,4,6YUTL4dYpB9xZO5qExPf05,GBARL1400296
26,"Hymn for the Weekend","Coldplay",90,5A,69,2026-02-11,04:18,84,"","A Head Full of Dreams",2015-12-04,49,21,0,41,0,30,-6,C Minor,4,3RiPr603aXAoi4GHyXx0uy,GBAYE1500979
27,"The Hanging Tree - From  The Hunger Games: Mockingjay  Soundtraclk","James Newton Howard,Jennifer Lawrence",54,8A,7,2026-02-09,03:38,71,"soundtrack, score, ","The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score)",2014-11-21,21,34,0,14,0,20,-18,A Minor,4,416MsJxvxSKY96DCmbJIRs,USUG11401803
28,"They Don't Care About Us","Michael Jackson",90,5A,91,2026-02-09,04:44,83,"","HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,86,21,1,73,10,30,-6,C Minor,4,3wuCCNCnBhJlwkIJTBZFiv,USSM19500629
29,"I Gotta Feeling","Black Eyed Peas",128,8B,77,2026-02-06,04:49,84,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,74,9,0,61,0,50,-6,C Major,4,4kLLWz7srcuLKA7Et40PQR,USUM70965169
30,"Feeling Good","Michael Bublé",115,3B,53,2026-02-04,03:57,71,"christmas","It's Time (20th Anniversary Deluxe Edition)",2004-00-00,42,53,0,43,0,10,-7,C♯/D♭ Major,3,6lRU3pKjNnSI9svHzznkC6,USRE11300257
31,"Runaway Baby","Bruno Mars",164,3A,76,2026-02-04,02:28,76,"","Doo-Wops & Hooligans",2010-05-11,66,26,0,82,0,10,-3,A#/B♭ Minor,4,7hCNBVRhHzcsRAv0TQnOzq,USAT21001885
32,"Something In The Way","Nirvana",105,4B,20,2026-02-04,03:52,73,"grunge, rock","Nevermind (Remastered)",1991-09-26,43,75,26,7,0,10,-13,G#/A♭ Major,4,4gHnSNHs8RyVukKoWdS99f,USGF19942512
33,"HandClap","Fitz and The Tantrums",140,4B,84,2026-02-04,03:13,70,"","Fitz and The Tantrums",2016-06-10,64,1,0,72,0,0,-3,G#/A♭ Major,4,7j56HrjR9cGzvekvZY3Faz,USAT21600408
34,"Bitter Sweet Symphony - Remastered 2016","The Verve",171,11B,92,2026-02-04,05:57,85,"britpop, shoegaze","Urban Hymns (Remastered 2016)",1997-09-29,36,3,0,52,0,40,-6,A Major,4,57iDDD9N9tTWe75x6qhStw,GBUM71601816
35,"Roxanne","The Police",134,8B,75,2026-02-04,03:11,79,"","Outlandos D'Amour (Remastered 2003)",1978-11-02,62,4,0,66,30,0,-9,C Major,4,3EYOJ48Et32uATr9ZmLnAo,GBAAM0201086
36,"Love Me Again","John Newman",126,7A,89,2026-02-04,03:59,80,"","Tribute",2013-01-01,50,0,0,21,0,10,-5,D Minor,4,5TbzAWWc5eJaANpA9kfGCd,GBUM71301538
37,"As It Was","Harry Styles",174,11A,73,2026-02-04,02:47,91,"","Harry's House",2022-05-20,52,34,0,66,0,30,-5,F#/G♭ Minor,4,4Dvkj6JhhA12EX05fT7y2e,USSM12200612
38,"Welcome To The Jungle","Guns N' Roses",124,4B,99,2026-02-04,04:33,85,"rock, glam metal, hard rock, classic rock","Appetite For Destruction",1987-07-21,45,2,28,32,0,20,-4,G#/A♭ Major,4,0G21yYKMZoHa30cYVi1iA8,USGF18714801
